Constituency,const no,leading candidate,leading party,Leading In,Won in,Trailing in,trailing candidate,trailing party,Leading in2,Won in3,Trailing in4,Margin,Status,State
Almora,3,AJAY TAMTA,Bharatiya Janata Party,0,5,0,PRADEEP TAMTA,Indian National Congress,0,0,0,234097,Result Declared,uttarkand
Garhwal,2,ANIL BALUNI,Bharatiya Janata Party,0,5,0,GANESH GODIYAL,Indian National Congress,0,0,0,163503,Result Declared,uttarkand
Haridwar,5,TRIVENDRA SINGH RAWAT,Bharatiya Janata Party,0,5,0,VIRENDRA RAWAT,Indian National Congress,0,0,0,164056,Result Declared,uttarkand
Nainital-Udhamsingh Nagar,4,AJAY BHATT,Bharatiya Janata Party,0,5,0,PRAKASH JOSHI,Indian National Congress,0,0,0,334548,Result Declared,uttarkand
Tehri Garhwal,1,MALA RAJYA LAKSHMI SHAH,Bharatiya Janata Party,0,5,0,JOT SINGH GUNSOLA,Indian National Congress,0,0,0,272493,Result Declared,uttarkand
Koppal,8,K. RAJASHEKAR BASAVARAJ HITNAL,Indian National Congress,0,9,0,DR . BASAVARAJ. K. SHARANAPPA,Bharatiya Janata Party,0,17,0,46357,Result Declared,Karanataka
Mandya,20,H.D. KUMARASWAMY,Janata Dal  (Secular),0,2,0,VENKATARAMANE GOWDA (STAR CHANDRU),Indian National Congress,0,9,0,284620,Result Declared,Karanataka
Mysore,21,YADUVEER KRISHNADATTA CHAMARAJA WADIYAR,Bharatiya Janata Party,0,17,0,M. LAKSHMANA,Indian National Congress,0,9,0,139262,Result Declared,Karanataka
Raichur,6,G. KUMAR NAIK.,Indian National Congress,0,9,0,RAJA AMARESHWARA NAIK.,Bharatiya Janata Party,0,17,0,79781,Result Declared,Karanataka
Shimoga,14,B.Y.RAGHAVENDRA,Bharatiya Janata Party,0,17,0,GEETHA SHIVARAJKUMAR,Indian National Congress,0,9,0,243715,Result Declared,Karanataka
Tumkur,19,V. SOMANNA,Bharatiya Janata Party,0,17,0,S.P. MUDDAHANUMEGOWDA,Indian National Congress,0,9,0,175594,Result Declared,Karanataka
Udupi Chikmagalur,15,KOTA SRINIVAS POOJARY,Bharatiya Janata Party,0,17,0,K. JAYAPRAKASH HEGDE,Indian National Congress,0,9,0,259175,Result Declared,Karanataka
Uttara Kannada,12,VISHWESHWAR HEGDE KAGERI,Bharatiya Janata Party,0,17,0,DR. ANJALI NIMBALKAR,Indian National Congress,0,9,0,337428,Result Declared,Karanataka
Bagalkot,3,GADDIGOUDAR. PARVATAGOUDA. CHANDANAGOUDA.,Bharatiya Janata Party,0,17,0,SAMYUKTA SHIVANAND PATIL,Indian National Congress,0,9,0,68399,Result Declared,Karanataka
Bangalore central,25,P C MOHAN,Bharatiya Janata Party,0,17,0,MANSOOR ALI KHAN,Indian National Congress,0,9,0,32707,Result Declared,Karanataka
Bangalore North,24,SHOBHA KARANDLAJE,Bharatiya Janata Party,0,17,0,PROFESSOR M.V RAJEEV GOWDA,Indian National Congress,0,9,0,259476,Result Declared,Karanataka
Bangalore Rural,23,DR C N MANJUNATH,Bharatiya Janata Party,0,17,0,D K SURESH,Indian National Congress,0,9,0,269647,Result Declared,Karanataka
Bangalore South,26,TEJASVI SURYA,Bharatiya Janata Party,0,17,0,SOWMYA REDDY,Indian National Congress,0,9,0,277083,Result Declared,Karanataka
Belgaum,2,JAGADISH SHETTAR,Bharatiya Janata Party,0,17,0,MRINAL R HEBBALKAR,Indian National Congress,0,9,0,178437,Result Declared,Karanataka
Bellary,9,E. TUKARAM,Indian National Congress,0,9,0,B. SREERAMULU,Bharatiya Janata Party,0,17,0,98992,Result Declared,Karanataka
Bidar,7,SAGAR ESHWAR KHANDRE,Indian National Congress,0,9,0,BHAGWANTH KHUBA,Bharatiya Janata Party,0,17,0,128875,Result Declared,Karanataka
Bijapur,4,RAMESH JIGAJINAGI,Bharatiya Janata Party,0,17,0,RAJU ALAGUR.,Indian National Congress,0,9,0,77229,Result Declared,Karanataka
Chamarajanagar,22,SUNIL BOSE,Indian National Congress,0,9,0,BALARAJ.S,Bharatiya Janata Party,0,17,0,188706,Result Declared,Karanataka
Chikkballapur,27,DR.K.SUDHAKAR,Bharatiya Janata Party,0,17,0,M.S. RAKSHA RAMAIAH,Indian National Congress,0,9,0,163460,Result Declared,Karanataka
Chikkodi,1,PRIYANKA SATISH JARKIHOLI,Indian National Congress,0,9,0,ANNASAHEB SHANKAR JOLLE,Bharatiya Janata Party,0,17,0,90834,Result Declared,Karanataka
Chitradurga,18,GOVIND MAKTHAPPA KARJOL,Bharatiya Janata Party,0,17,0,B.N.CHANDRAPPA,Indian National Congress,0,9,0,48121,Result Declared,Karanataka
Dakshina Kannada,17,CAPTAIN BRIJESH CHOWTA,Bharatiya Janata Party,0,17,0,PADMARAJ.R.POOJARY,Indian National Congress,0,9,0,149208,Result Declared,Karanataka
Davanagere,13,DR. PRABHA MALLIKARJUN,Indian National Congress,0,9,0,GAYITHRI SIDDESHWARA,Bharatiya Janata Party,0,17,0,26094,Result Declared,Karanataka
Dharwad,11,PRALHAD JOSHI,Bharatiya Janata Party,0,17,0,VINOD ASOOTI,Indian National Congress,0,9,0,97324,Result Declared,Karanataka
Gulbarga,5,RADHAKRISHNA,Indian National Congress,0,9,0,DR. UMESH G JADHAV,Bharatiya Janata Party,0,17,0,27205,Result Declared,Karanataka
Hassan,16,SHREYAS. M. PATEL,Indian National Congress,0,9,0,PRAJWAL REVANNA,Janata Dal  (Secular),0,2,0,42649,Result Declared,Karanataka
Haveri,10,BASAVARAJ BOMMAI,Bharatiya Janata Party,0,17,0,ANANDSWAMY GADDADEVARMATH,Indian National Congress,0,9,0,43513,Result Declared,Karanataka
Kolar,28,M. MALLESH BABU,Janata Dal  (Secular),0,2,0,K V GOWTHAM,Indian National Congress,0,9,0,71388,Result Declared,Karanataka
Ahmednagar,37,NILESH DNYANDEV LANKE,Nationalist Congress Party – Sharadchandra Pawar,0,8,0,DR. SUJAY RADHAKRISHNA VIKHEPATIL,Bharatiya Janata Party,0,9,0,28929,Result Declared,Maharastra
Akola,6,ANUP SANJAY DHOTRE,Bharatiya Janata Party,0,9,0,ABHAY KASHINATH PATIL,Indian National Congress,0,13,0,40626,Result Declared,Maharastra
Amravati,7,BALWANT BASWANT WANKHADE,Indian National Congress,0,13,0,NAVNEET RAVI RANA,Bharatiya Janata Party,0,9,0,19731,Result Declared,Maharastra
Aurangabad,19,BHUMARE SANDIPANRAO ASARAM,Shiv Sena,0,7,0,IMTIAZ JALEEL SYED,All India Majlis-E-Ittehadul Muslimeen,0,0,0,134650,Result Declared,Maharastra
Baramati,35,SUPRIYA SULE,Nationalist Congress Party – Sharadchandra Pawar,0,8,0,SUNETRA AJITDADA PAWAR,Nationalist Congress Party,0,1,0,158333,Result Declared,Maharastra
Beed,39,BAJRANG MANOHAR SONWANE,Nationalist Congress Party – Sharadchandra Pawar,0,8,0,PANKAJA GOPINATHRAO MUNDE,Bharatiya Janata Party,0,9,0,6553,Result Declared,Maharastra
Bhandara Gondiya,11,DR. PRASHANT YADAORAO PADOLE,Indian National Congress,0,13,0,SUNIL BABURAO MENDHE,Bharatiya Janata Party,0,9,0,37380,Result Declared,Maharastra
Bhiwandi,23,BALYA MAMA - SURESH GOPINATH MHATRE,Nationalist Congress Party – Sharadchandra Pawar,0,8,0,KAPIL MORESHWAR PATIL,Bharatiya Janata Party,0,9,0,66121,Result Declared,Maharastra
